TestCaseNo.,Test Case Discription ,Service Type,Sub Service,Card Grop Set Name,Applicable Date,Applicable Time,Card Gropu Code,Start Range,End Range,Validity Days,Grace Period,Multiple of,Sender tax1,Sender tax2,Sender fee rate,Sender Min Amount,Sender Max Amount,Sender Conversion Factor,Receiver Rate1,Receiver Rate2,ProcessingFee Rate,Receiver Min Amt.,Receiver Max Amt.,Reciever Conversion factor,Bonuns Bundle value,Bonus validity,Bonus Conversing factor,Bonus Validity Days,Assertion
TEST059,Try to submit conversing factor as negative number,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,-1,1,1,1,1,100,1,10,7,1,7,Sender conversion factor should be greater than 0.
TEST060,Try to submit receiver tax 1 rate as string,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,1,AA,1,1,1,100,1,10,7,1,7,Receiver Tax 1 Rate should be numeric
TEST061,Try to submit receiver tax 1 rate as negative number,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,1,-1,1,1,1,100,1,10,7,1,7,Receiver Tax 1 rate should be in between 0 and 100
TEST062,Try to submit receiver tax 1 rate more than 100,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,1,110,1,1,1,100,1,10,7,1,7,Receiver Tax 1 rate should be in between 0 and 100
TEST063,Try to submit receiver tax 2 rate as string,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,SSS,1,1,100,1,10,7,1,7,Receiver Tax 2 Rate should be numeric
TEST064,Try to submit receiver tax 2 rate as negative number,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,-1,1,1,100,1,10,7,1,7,Receiver Tax 2 rate should be in between 0 and 100
TEST065,Try to submit receiver tax 2 rate more than 100,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,111,1,1,100,1,10,7,1,7,Receiver Tax 2 rate should be in between 0 and 100
TEST066,Try to submit receiver processing fee rate as string,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,1,AB,1,100,1,10,7,1,7,Receiver Processing fee Rate should be numeric
TEST067,Try to submit receiver processing fee rate as negative number,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,1,-5,1,100,1,10,7,1,7,Receiver processing fee rate should be in between 0 and 100
TEST068,Try to submit receiver processing fee rate more than 100,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,1,115,1,100,1,10,7,1,7,Receiver processing fee rate should be in between 0 and 100
TEST069,Try to submit receiver min amount as string,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,1,1,AB,100,1,10,7,1,7,Receiver Processing fee Min. amount should be numeric
TEST070,Try to submit receiver min amout more than min amout,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,1,1,1000,11,1,10,7,1,7,Receiver processing fee Max. amount should be greater than or equal to receiver processing fee Min. amount and less then equal to
TEST071,Try to submit receiver max amount as set of charator,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,1,1,1,ASSSS,1,10,7,1,7,Receiver Processing fee Max. amount should be numeric
TEST072,Try to submit receiver conv. Factor as string,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,1,1,1,100,AAA,10,7,1,7,Receiver Conversion factor should be numeric.
TEST073,Try to submit receiver factor as negative number,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,1,1,1,100,-1,10,7,1,7,Receiver conversion factor should be greater than 0.
TEST074,Try to submit bonus value in invalid amount format,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,1,1,1,100,1,Rs.1.5,7,1,7,Bonus VG value should be numeric.
TEST075,Try to submit bonus value as invalid amount,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,1,1,1,100,1,1..5,7,1,7,Bonus VG value should be numeric.
TEST076,Try to submit bonus value as string,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,1,1,1,100,1,ABCD,7,1,7,Bonus VG value should be numeric.
TEST077,Try to submit bonus value as a negative amount,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,1,1,1,100,1,-10,7,1,7,Bonus VG value should be greater than or equal to 0.
TEST078,Try to submit bonus validity as negative,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,1,1,1,100,1,10,-7,1,7,Bonus VG validity should be greater than or equal to 0.
TEST079,Try to submit bonus validity as string,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,1,1,1,100,1,10,AA,1,7,Bonus VG validity should numeric.
TEST080,Try to submit bonus validity as fractional value,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,1,1,1,100,1,10,1.5,1,7,Bonus VG validity should be whole number.
TEST081,Try to submit bonus bundle conv factor as string,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,1,1,1,100,1,10,7,-1,7,Bonus VG conversion factor should be greater than 0.
TEST082,Try to submit bonus bundle conv factor as negative,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,1,1,1,100,1,10,7,AA,7,Bonus VG conversion factor should be numeric.
TEST083,Try to submit bonus validity days as string,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,1,1,1,100,1,10,7,1,AA,Bonus Validity days should be a numeric and whole number value
TEST084,Try to submit bonus validity days fraction,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,1,1,1,100,1,10,7,1,1.5,Bonus Validity days should be a numeric and whole number value
TEST085,Try to submit bonus validity days as negative value,Adhoc RechargeREG,Voice,TestCardGroup,calendar-icon.gif,23:59,CARD01,10,1000,30,10,1,1,1,1,1,100,1,1,1,1,1,100,1,10,7,1,-7,Bonus validity days should be greater than or equal to 0.
