TestCaseNo.,Discription,gatewayCode,GatewayName,GatewayType,Host,Protocol,Port,AutType,LoginID,Pwd,CnfPassword,Status,ContetType,Encryption Level,PushPort,Status,LoginID,pwd,CnfPassword,DestNumber,Timeout,Assertion
TEST062,Try to submit  diiferent password and confirm password for push details,GATE,Gateway,EXTGW,127.0.0.1,HTTP,8080,IP,Test,1357,1357,Active,XML,MASTER_KEY,8181,Active,test,1357,2468,5050,10000,Password and Confirm password are not same for Push details
TEST063,Try to submit  diiferent password and confirm password as AB and ab  for push details,GATE,Gateway,EXTGW,127.0.0.1,HTTP,8080,IP,Test,1357,1357,Active,XML,MASTER_KEY,8181,Active,test,shashi,SHASHI,5050,10000,Password and Confirm password are not same for Push details
TEST064,Given that a super admin try to create a message gateway without password as continious set of charactor for push details,GATE,Gateway,EXTGW,127.0.0.1,HTTP,8080,IP,Test,1357,1357,Active,XML,MASTER_KEY,8181,Active,test,abcde,abcde,5050,10000,Password for Push details should not be consecutive or repeating characters.
TEST065,Given that a super admin try to create a message gateway without password as consicutive number  for push details,GATE,Gateway,EXTGW,127.0.0.1,HTTP,8080,IP,Test,1357,1357,Active,XML,MASTER_KEY,8181,Active,test,12345,12345,5050,10000,Password for Push details should not be consecutive or repeating characters.
TEST066,Given that a super admin try to create a message gateway without password as repeating number  for push details,GATE,Gateway,EXTGW,127.0.0.1,HTTP,8080,IP,Test,1357,1357,Active,XML,MASTER_KEY,8181,Active,test,1111,1111,5050,10000,Password for Push details should not be same characters.
TEST067,Given that a super admin try to create a message gateway with destination number as negative number,GATE,Gateway,EXTGW,127.0.0.1,HTTP,8080,IP,Test,1357,1357,Active,XML,MASTER_KEY,8181,Active,test,1357,1357,-5000,10000,Destination number is not a valid value
TEST068,Given that a super admin try to create a message gateway with destination number as negative number,GATE,Gateway,EXTGW,127.0.0.1,HTTP,8080,IP,Test,1357,1357,Active,XML,MASTER_KEY,8181,Active,test,1357,1357,501 21,10000,Destination number is not a valid value
TEST069,Given that a super admin try to create a message gateway with destination number as negative number,GATE,Gateway,EXTGW,127.0.0.1,HTTP,8080,IP,Test,1357,1357,Active,XML,MASTER_KEY,8181,Active,test,1357,1357,5002.5,10000,Destination number is not a valid value
TEST070,Given that a super admin try to create a message gateway with destination number as negative number,GATE,Gateway,EXTGW,127.0.0.1,HTTP,8080,IP,Test,1357,1357,Active,XML,MASTER_KEY,8181,Active,test,1357,1357,-5000,10000,Destination number is not a valid value
TEST071,Given that a super admin try to create a message gateway with timeout as String,GATE,Gateway,EXTGW,127.0.0.1,HTTP,8080,IP,Test,1357,1357,Active,XML,MASTER_KEY,8181,Active,test,1357,1357,5000,STRING,Time out is not a valid value
TEST072,Given that a super admin try to create a message gateway with timeout as decimal value,GATE,Gateway,EXTGW,127.0.0.1,HTTP,8080,IP,Test,1357,1357,Active,XML,MASTER_KEY,8181,Active,test,1357,1357,5000,100.1,Time out is not a valid value
TEST073,Given that a super admin try to create a message gateway with timeout containing special charactor,GATE,Gateway,EXTGW,127.0.0.1,HTTP,8080,IP,Test,1357,1357,Active,XML,MASTER_KEY,8181,Active,test,1357,1357,5000,100&,Time out is not a valid value
TEST074,Given that a super admin try to create a message gateway with timeout as String,GATE,Gateway,EXTGW,127.0.0.1,HTTP,8080,IP,Test,1357,1357,Active,XML,MASTER_KEY,8181,Active,test,1357,1357,5000,STRING,Time out is not a valid value
TEST075,Given that a super admin try to create a message gateway with timeout as String,GATE,Gateway,EXTGW,127.0.0.1,HTTP,8080,IP,Test,1357,1357,Active,XML,MASTER_KEY,8181,Active,test,1357,1357,5000,STRING,Time out is not a valid value
