TestCaseNo.,TestCase Discription,Profile Name,Short Name,Discription,Post eTopUp Min,Post eTopUp Max,C2S Min,C2S Max,Alerting Balance,Ald. Max prct.,VoucherTracking Min,VoucherTracking Max,C2S Min,C2S Max,Alerting Balance,Ald. Max prct.,eTopUp Min,eTopUp Max,C2S Min,C2S Max,eTopUp Alerting ,Ald. Max pct,Assertion Message
TEST042,Try to submit without weekly subscriber transfer out alert count,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Subscriber's weekly transfer out alerting count is required.
TEST043,Try to submit without weekly subscriber transfer out value,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Subscriber's weekly transfer out value is required.
TEST044,Try to submit without weekly subscriber transfer out alert value,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Subscriber's weekly transfer out alerting value is required.
TEST045,Try to submit without monthly transfer in count,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Subscriber's weekly transfer in count is required.
TEST046,Try to submit without monthly transfer in count,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Subscriber's weekly transfer in alerting count is required.
TEST047,Try to submit without monthly transfer in count,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Subscriber's weekly transfer in value is required.
TEST048,Try to submit without monthly transfer in count,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Subscriber's weekly transfer in alerting value is required.
TEST049,Try to submit without monthly transfer in count,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Monthly transfer in count is required.
TEST050,Try to submit without monthly transfer in alert count,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Monthly transfer in alerting count is required.
TEST051,Try to submit without monthly transfer in value,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Monthly transfer in value is required.
TEST052,Try to submit without monthly transfer in alert value,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Monthly transfer in alerting value is required.
TEST053,Try to submit without monthly channel transfer out count,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Channel's monthly transfer out count is required.
TEST054,Try to submit without monthly channel transfer out alert count,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Channel's monthly transfer out alerting count is required.
TEST055,Try to submit without monthly channel transfer out value,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Channel's monthly transfer out value is required.
TEST056,Try to submit without monthly channel transfer out alert value,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Channel's monthly transfer out alerting value is required.
TEST057,Try to submit without monthly subscriber transfer out count,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Subscriber's monthly transfer out count is required.
TEST058,Try to submit without monthly subscriber transfer out alert count,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Subscriber's monthly transfer out alerting count is required.
TEST059,Try to submit without monthly subscriber transfer out value,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Subscriber's monthly transfer out value is required.
TEST060,Try to submit without monthly subscriber transfer out alert value,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Subscriber's monthly transfer out alerting value is required.
TEST061,Try to submit without monthly subscriber transfer In count,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Subscriber's monthly transfer in count is required.
TEST062,Try to submit without monthly subscriber transfer In alert count,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Subscriber's monthly transfer in alerting count is required.
TEST063,Try to submit without monthly subscriber transfer In value,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Subscriber's monthly transfer in value is required.
TEST064,Try to submit without monthly subscriber transfer In alert value,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Subscriber's monthly transfer in alerting value is required.
TEST065,Try to submit negative minimum eTopUp balance,Testing,AB,Category TCP,-1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Minimum residual balance should be non-negative value for product Post eTopUP
TEST066,Try to submit negative maximum eTopUp balance,Testing,AB,Category TCP,1,-100000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Maximum balance should be non-negative value for product Post eTopUP
TEST067,Try to submit negative minimum C2S transaction amount,Testing,AB,Category TCP,1,1000000,-10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Per C2S transaction minimum amount should be non-negative value for product Post eTopUP
TEST068,Try to submit negative maximum C2S transaction amount,Testing,AB,Category TCP,1,1000000,10,-1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Per C2S transaction maximum amount should be non-negative value for product Post eTopUP
TEST069,Try to submit negative eTopUp alerting balance,Testing,AB,Category TCP,1,1000000,10,1000,-100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Alerting balance should be non-negative value for product Post eTopUP
TEST070,Try to submit negative eTopUp allowed percentage,Testing,AB,Category TCP,1,1000000,10,1000,100,-100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Allowed Max. percentage should be non-negative value for product Post eTopUP
TEST071,Try to submit negative minimum  post eTopUp balance,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,-1,1000000,10,1000,100,100,Minimum residual balance should be non-negative value for product eTopUP
TEST072,Try to submit negative maximum post eTopUp balance,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,-1000000,10,1000,100,100,Maximum balance should be non-negative value for product eTopUP
TEST073,Try to submit negative minimum C2S transaction amount for Post eTopUP,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,-10,1000,100,100,Per C2S transaction minimum amount should be non-negative value for product eTopUP
TEST074,Try to submit negative maximum C2S transaction amount for Post eTopUP,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,-1000,100,100,Per C2S transaction maximum amount should be non-negative value for product eTopUP
TEST075,Try to submit negative post eTopUp alerting balance,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,-100,100,Alerting balance should be non-negative value for product eTopUP
TEST076,Try to submit negative post eTopUp allowed percentage,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,-100,Allowed Max. percentage should be non-negative value for product eTopUP
TEST077,Try to submit negative daily transfer in count,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Daily transfer in count should be non-negative value
TEST078,Try to submit negative weekly transfer in count,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Weekly transfer in count should be non-negative value
TEST079,Try to submit negative monthly transfer in count,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Monthly transfer in count should be non-negative value
TEST080,Try to submit minimum residual balance more than maximum for eTopUp,Testing,AB,Category TCP,100,10,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Minimum balance cannot be greater than maximum balance for product Post eTopUP
TEST081,Try to submit eTopUp alerting balance less than minimum residual balance for eTopUp,Testing,AB,Category TCP,10,100,10,1000,5,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Alerting balance should be greater than or equal to minimum residual balance
TEST082,Try to submit same minimum residual balance and alerting balance for eTopUp,Testing,AB,Category TCP,10,100,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Alerting balance should be less than maximum balance
TEST083,Try to submit alerting balance more than maximum residual balance for eTopUp,Testing,AB,Category TCP,1,100,10,1000,111,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Alerting balance should be less than maximum balance
TEST084,Try to submit allowed eTopUp maximum percentage more than 100 for eTopUp,Testing,AB,Category TCP,1,1000000,10,1000,100,111,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Allowed maximum percentage should be in between 1 to 100
TEST085,Try to submit allowed eTopUp maximum percentage as zero for eTopUp,Testing,AB,Category TCP,1,1000000,10,1000,100,0,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Allowed maximum percentage should be in between 1 to 100
TEST086,Try to submit minimum residual balance more than maximum for Post eTopUp,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,100,10,10,1000,100,100,Minimum balance cannot be greater than maximum balance for product eTopUP
TEST087,Try to submit eTopUp alerting balance less than minimum residual balance for Post eTopUp,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,10,100,10,1000,5,100,Alerting balance should be greater than or equal to minimum residual balance
TEST088,Try to submit same minimum residual balance and alerting balance for Post eTopUp,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,10,100,10,1000,100,100,Alerting balance should be less than maximum balance
TEST089,Try to submit alerting balance more than maximum residual balance for Post eTopUp,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,10,100,10,1000,101,100,Alerting balance should be less than maximum balance
TEST090,Try to submit allowed eTopUp maximum percentage more than 100 for Post eTopUp,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,105,Allowed maximum percentage should be in between 1 to 100
TEST091,Try to submit allowed eTopUp maximum percentage as zero for Post eTopUp,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,0,Allowed maximum percentage should be in between 1 to 100
TEST092,Try to submit Daily transfer in alerting count more than count,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Daily transfer in alerting count should be less than or equal to daily transfer in count
TEST093,Try to submit daily transfer in alerting value more than transfer in value,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Daily transfer in alerting value should be less than or equal to daily transfer in value
TEST094,Try to submit daily in count more than weekly count,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Subscriber's monthly alerting count should be less than subscriber's monthly count
TEST095,Try to submit daily transfer in count more than monthly transfer count,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Daily in count cannot be greater than weekly in count
TEST096,Try to submit daily transfer in value more than weekly,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Daily in value cannot be greater than weekly in value
TEST097,Try to submit daily transfer in value more than monthly in value,Testing,AB,Category TCP,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,1,1000000,10,1000,100,100,Daily in value cannot be greater than monthly in value
