TestCaseNo.,Discription,GatewayName,Host,Protocol,Port,AutType,LoginID,Pwd,CnfPassword,Status,ContetType,Encryption Level,PushPort,Status,LoginID,pwd,CnfPassword,DestNumber,Timeout,Assertion
TEST036,Given that a super admin try to create a message gateway without pwd and cnf pwd as triple digit,Gateway,127.0.0.1,HTTP,8080 80,IP,Test,1357,1357,Active,XML,MASTER_KEY,8181,Active,test,1357,1357,5050,10000,Service port is not a valid port
TEST037,Given that a super admin try to create a message gateway without password as continious set of charactor,Gateway,127.0.0.1,HTTP,-8080,IP,Test,1357,1357,Active,XML,MASTER_KEY,8181,Active,test,1357,1357,5050,10000,Service port is not a valid port
TEST038,Given that a super admin try to create a message gateway without password as consicutive number,Gateway,127.0.0.1,HTTP,8080,IP,Test,1357,,Active,XML,MASTER_KEY,8181,Active,test,1357,1357,5050,10000,Password and Confirm password are not same for Request details
TEST039,Given that a super admin try to create a message gateway without password as repeating number,Gateway,127.0.0.1,HTTP,8080,IP,Test,1,1,Active,XML,MASTER_KEY,8181,Active,test,1357,1357,5050,10000,Length of the Password should be minimum of 4 Request details.
TEST040,Given that a super admin try to create a message gateway without password as repeating charactor,Gateway,127.0.0.1,HTTP,8080,IP,Test,12,12,Active,XML,MASTER_KEY,8181,Active,test,1357,1357,5050,10000,Length of the Password should be minimum of 4 Request details.
TEST041,Given that a super admin try to create a message gateway without password as reccuring set of  number,Gateway,127.0.0.1,HTTP,8080,IP,Test,125,125,Active,XML,MASTER_KEY,8181,Active,test,1357,1357,5050,10000,Length of the Password should be minimum of 4 Request details.
TEST042,Given that a super admin try to create a message gateway without password as reccuring set of  charactor,Gateway,127.0.0.1,HTTP,8080,IP,Test,abcde,abcde,Active,XML,MASTER_KEY,8181,Active,test,1357,1357,5050,10000,Password for Request details should not be consecutive or repeating characters.
TEST043,Given that a super admin try to create a message gateway without password as reverse consicutive number,Gateway,127.0.0.1,HTTP,8080,IP,Test,12345,12345,Active,XML,MASTER_KEY,8181,Active,test,1357,1357,5050,10000,Password for Request details should not be consecutive or repeating characters.
TEST044,Given that a super admin try to create a message gateway without password as reverse consicutive charactor,Gateway,127.0.0.1,HTTP,8080,IP,Test,1111,1111,Active,XML,MASTER_KEY,8181,Active,test,1357,1357,5050,10000,Password for Request details should not be same characters.
TEST045,Try to submit  diiferent password and confirm password,Gateway,127.0.0.1,HTTP,8080,IP,Test,aaaa,aaaa,Active,XML,MASTER_KEY,8181,Active,test,1357,1357,5050,10000,Password for Request details should not be same characters.
TEST046,Try to submit  diiferent password and confirm password as AB and ab ,Gateway,127.0.0.1,HTTP,8080,IP,Test,1212,1212,Active,XML,MASTER_KEY,8181,Active,test,1357,1357,5050,10000,Password for Request details should not be consecutive or repeating characters.
TEST047,Given that a super admin try to create a message gateway with service port as String For push details,Gateway,127.0.0.1,HTTP,8080,IP,Test,abab,abab,Active,XML,MASTER_KEY,8181,Active,test,1357,1357,5050,10000,Password for Request details should not be consecutive or repeating characters.
TEST048,Given that a super admin try to create a message gateway with service port as negative number for push details,Gateway,127.0.0.1,HTTP,8080,IP,Test,54321,54321,Active,XML,MASTER_KEY,8181,Active,test,1357,1357,5050,10000,Password for Request details should not be consecutive or repeating characters.
TEST049,Given that a super admin try to create a message gateway with service port as decimal number for push details,Gateway,127.0.0.1,HTTP,8080,IP,Test,edcba,edcba,Active,XML,MASTER_KEY,8181,Active,test,1357,1357,5050,10000,Password for Request details should not be consecutive or repeating characters.
TEST050,Given that a super admin try to create a message gateway with service port having spaces for push details,Gateway,127.0.0.1,HTTP,8080,IP,Test,1357,2468,Active,XML,MASTER_KEY,8181,Active,test,1357,1357,5050,10000,Password and Confirm password are not same for Request details
TEST051,Given that a super admin try to create a message gateway with service port as a negative number for push details,Gateway,127.0.0.1,HTTP,8080,IP,Test,shashi,SHASHI,Active,XML,MASTER_KEY,8181,Active,test,1357,1357,5050,10000,Password and Confirm password are not same for Request details
TEST052,Given that a super admin try to create a message gateway without password as repeating charactor for push details,Gateway,127.0.0.1,HTTP,8080,IP,Test,1357,1357,Active,XML,MASTER_KEY,STRING,Active,test,1357,1357,5050,10000,Port is not a valid port (only numeric values) for Push details
TEST053,Given that a super admin try to create a message gateway without password as reccuring set of  number for push details,Gateway,127.0.0.1,HTTP,8080,IP,Test,1357,1357,Active,XML,MASTER_KEY,-9000,Active,test,1357,1357,5050,10000,Port is not a valid port (only numeric values) for Push details
TEST054,Given that a super admin try to create a message gateway without password as reccuring set of  charactor for push details,Gateway,127.0.0.1,HTTP,8080,IP,Test,1357,1357,Active,XML,MASTER_KEY,8080.5,Active,test,1357,1357,5050,10000,Port is not a valid port (only numeric values) for Push details
TEST055,Given that a super admin try to create a message gateway without password as reverse consicutive number for push details,Gateway,127.0.0.1,HTTP,8080,IP,Test,1357,1357,Active,XML,MASTER_KEY,8080 88,Active,test,1357,1357,5050,10000,Port is not a valid port (only numeric values) for Push details
TEST056,Given that a super admin try to create a message gateway without password as reverse consicutive charactor for push details,Gateway,127.0.0.1,HTTP,8080,IP,Test,1357,1357,Active,XML,MASTER_KEY,-8000,Active,test,1357,1357,5050,10000,Port is not a valid port (only numeric values) for Push details
TEST057,Try to submit  diiferent password and confirm password for push details,Gateway,127.0.0.1,HTTP,8080,IP,Test,1357,1357,Active,XML,MASTER_KEY,8181,Active,test,aaaa,aaaa,5050,10000,Password for Push details should not be same characters.
TEST058,Try to submit  diiferent password and confirm password as AB and ab  for push details,Gateway,127.0.0.1,HTTP,8080,IP,Test,1357,1357,Active,XML,MASTER_KEY,8181,Active,test,1212,1212,5050,10000,Password for Push details should not be consecutive or repeating characters.
TEST059,Given that a super admin try to create a message gateway without password as continious set of charactor for push details,Gateway,127.0.0.1,HTTP,8080,IP,Test,1357,1357,Active,XML,MASTER_KEY,8181,Active,test,abab,abab,5050,10000,Password for Push details should not be consecutive or repeating characters.
TEST060,Given that a super admin try to create a message gateway without password as consicutive number  for push details,Gateway,127.0.0.1,HTTP,8080,IP,Test,1357,1357,Active,XML,MASTER_KEY,8181,Active,test,54321,54321,5050,10000,Password for Push details should not be consecutive or repeating characters.
TEST061,Given that a super admin try to create a message gateway without password as repeating number  for push details,Gateway,127.0.0.1,HTTP,8080,IP,Test,1357,1357,Active,XML,MASTER_KEY,8181,Active,test,edcba,edcba,5050,10000,Password for Push details should not be consecutive or repeating characters.
TEST062,Given that a super admin try to create a message gateway with destination number as negative number,Gateway,127.0.0.1,HTTP,8080,IP,Test,1357,1357,Active,XML,MASTER_KEY,8181,Active,test,1357,2468,5050,10000,Password and Confirm password are not same for Push details
TEST063,Given that a super admin try to create a message gateway with destination number as negative number,Gateway,127.0.0.1,HTTP,8080,IP,Test,1357,1357,Active,XML,MASTER_KEY,8181,Active,test,shashi,SHASHI,5050,10000,Password and Confirm password are not same for Push details
TEST064,Given that a super admin try to create a message gateway with destination number as negative number,Gateway,127.0.0.1,HTTP,8080,IP,Test,1357,1357,Active,XML,MASTER_KEY,8181,Active,test,abcde,abcde,5050,10000,Password for Push details should not be consecutive or repeating characters.
TEST065,Given that a super admin try to create a message gateway with destination number as negative number,Gateway,127.0.0.1,HTTP,8080,IP,Test,1357,1357,Active,XML,MASTER_KEY,8181,Active,test,12345,12345,5050,10000,Password for Push details should not be consecutive or repeating characters.
TEST066,Given that a super admin try to create a message gateway with timeout as String,Gateway,127.0.0.1,HTTP,8080,IP,Test,1357,1357,Active,XML,MASTER_KEY,8181,Active,test,1111,1111,5050,10000,Password for Push details should not be same characters.
TEST067,Given that a super admin try to create a message gateway with timeout as decimal value,Gateway,127.0.0.1,HTTP,8080,IP,Test,1357,1357,Active,XML,MASTER_KEY,8181,Active,test,1357,1357,-5000,10000,Destination number is not a valid value
TEST068,Given that a super admin try to create a message gateway with timeout containing special charactor,Gateway,127.0.0.1,HTTP,8080,IP,Test,1357,1357,Active,XML,MASTER_KEY,8181,Active,test,1357,1357,501 21,10000,Destination number is not a valid value
TEST069,Given that a super admin try to create a message gateway with timeout as String,Gateway,127.0.0.1,HTTP,8080,IP,Test,1357,1357,Active,XML,MASTER_KEY,8181,Active,test,1357,1357,5002.5,10000,Destination number is not a valid value
TEST070,Given that a super admin try to create a message gateway with timeout as String,Gateway,127.0.0.1,HTTP,8080,IP,Test,1357,1357,Active,XML,MASTER_KEY,8181,Active,test,1357,1357,-5000,10000,Destination number is not a valid value
