TestCaseNo.,Description,Priority,Functionality,Release,Script,Tags,Start URL
TEST032,Look Up ,M,Add sublook up,Pretups6.3.3,testscripts/SubLookUp/AddViewModifySubLookUp.sah,P,
TEST033,Message Getway Management,M,Message Getway Management,Pretups6.3.3,testscripts/Message_Getway_Management/AddViewModifyMessageGateway.sah,P,
TEST034,Bonus Bundle Management,M,Bonus Bundle Management,Pretups6.3.3,testscripts/Bonus_Bundle_Management/BonusBundle.sah,P,
TEST035,Grade Management,M,Grade Management,Pretups6.3.3,testscripts/Grade_Management/GradeManagement.sah,P,
TEST036,Group Role Management,M,Group Role Management,Pretups6.3.3,testscripts/Group_Role_Management/AddModifyDeleteGroupRole.sah,P,
TEST037,Profile Management,M,Profile Management,Pretups6.3.3,testscripts/Profile_Management/AddModifyCommisionProfile.sah,P,
TEST038,Profile Management,M,Profile Management,Pretups6.3.3,testscripts/Profile_Management/AddModifyAdditionalCommisionProfile.sah,P,
TEST039,View Details by super admin,M,View Details by super admin,Pretups6.3.3,testscripts/View_Details/ViewDetails.sah,P,
TEST040,View Details by network admin,M,View Details by network admin,Pretups6.3.3,testscripts/View_Details/ViewDetails_ByNetworkAdmin.sah,P,
TEST041,View Details by channel admin,M,View Details by channel admin,Pretups6.3.3,testscripts/View_Details/ViewDetails_ByChannelAdmin.sah,P,
TEST042,User Status Configuration,M,User Status Configuration ,Pretups6.3.3,testscripts/User_Status_Configuration/UserStatus.sah,P,
TEST043,User Status Change,M,User Status Change,Pretups6.3.3,testscripts/User_Status_Configuration/UserStatus_ChannelAdmin.sah,P,
TEST044,Cell ID Management,M,Cell ID Management,Pretups6.3.3,testscripts/Cell_Id_Management/Cell_Id_Management.sah,P,
TEST045,Service Type Product Mapping,M,Service Type Product Mapping,Pretups6.3.3,testscripts/Service_Type_Product_Mapping/ServiceTypeProductMapping.sah,P,
TEST046,Service Type Selector Mapping,M,Service Type Selector Mapping,Pretups6.3.3,testscripts/Service_Type_Selector_Mapping/ServiceTypeSelectorMapping.sah,P,
TEST047,Channel Admin pwd mgmt,M,Channel Admin pwd mgmt,Pretups6.3.3,testscripts/AccessControlMgmt_ChannelAdmin/ChannelUserPasswordManagement.sah,PP,
TEST048,Bonus bundle,M,Bonus bundle,Pretups6.3.3,testscripts/Bonus_Bundle_Management/BonusBundle.sah,P,
TEST049,Cell ID Management,M,Cell ID Management,Pretups6.3.3,testscripts/Cell_Id_Management/Cell_Id_Management.sah,P,
TEST050,View edit user,M,View edit user,Pretups6.3.3,testscripts/ChannelAdmin_OperatorUser/ViewEditUser.sah,P,
TEST051,Suspend Approval User,M,Suspend Approval User,Pretups6.3.3,testscripts/ChannelUser_Management/SuspendApprovalResumeUser.sah,P,
TEST052,User Pin Mgmt,M,User Pin Mgmt,Pretups6.3.3,testscripts/ChannelUser_Management/UserPINManagement.sah,PP,
TEST053,Change PIN,M,Change PIN,Pretups6.3.3,testscripts/ChannelUser_Management/ChangePIN.sah,P,
TEST054,Change Self PIN,M,Change Self PIN,Pretups6.3.3,testscripts/ChannelUser_Management/ChangeSelfPIN.sah,P,
TEST055,Forgot Password,M,Forgot Password,Pretups6.3.3,testscripts/ForgotPassword/ForgotPassword.sah,P,
TEST056,Channel Admin self PIN,M,Channel Admin self PIN,Pretups6.3.3,testscripts/ChannelAdmin_OperatorUser/ChangeSelfPIN.sah,P,
TEST057,Geo Fencing,M,Geo Fencing,Pretups6.3.3,testscripts/GeoFencing/GeoFencing.sah,P,
TEST058,Group Role Management,M,Group Role Management,Pretups6.3.3,testscripts/Group_Role_Management/AddModifyDeleteGroupRole.sah,P,
TEST059,LMS Items,M,LMS Items,Pretups6.3.3,testscripts/LMS/AddViewAndModifyItems.sah,P,
TEST060,Loyality profile,M,Loyality profile,Pretups6.3.3,testscripts/LMS/LoyalityProfileManagement.sah,P,
TEST061,Initiate and approve loyality,M,Initiate and approve loyality,Pretups6.3.3,testscripts/LMS/InitiateAndApproveLoyalityPoint.sah,P,
TEST062,Bar user,M,Bar user,Pretups6.3.3,testscripts/Masters_ChannelAdmin/BarChannelUser.sah,P,
TEST063,Unbar User,M,Unbar User,Pretups6.3.3,testscripts/Masters_ChannelAdmin/UnBarChannelUser.sah,P,
TEST064,View Bar list,M,View Bar list,Pretups6.3.3,testscripts/Masters_ChannelAdmin/ViewBarredList.sah,P,
TEST065,Initiate O2C,M,Initiate O2C,Pretups6.3.3,testscripts/OperatorToChannel/InitiateTransfer.sah,P,
TEST066,O2C Approval,M,O2C Approval,Pretups6.3.3,testscripts/OperatorToChannel/O2CApproval.sah,P,
TEST067,Initiate FOC,M,Initiate FOC,Pretups6.3.3,testscripts/OperatorToChannel/InitiateFOCTransfer.sah,P,
TEST068,Approval FOC,M,Approval FOC,Pretups6.3.3,testscripts/OperatorToChannel/FOCApproval.sah,P,
TEST069,Program category,M,Program category,Pretups6.3.3,testscripts/ProgramCategory/ProgramCategory.sah,P,
TEST070,Super Admin Roles,M,Super Admin Roles,Pretups6.3.3,testscripts/RolesAndRensposibilities/SuperAdmin_Roles.sah,P,
TEST071,Network Admin Roles,M,Network Admin Roles,Pretups6.3.3,testscripts/RolesAndRensposibilities/NetworkAdmin_Roles.sah,P,
TEST072,Channel Admin Roles,M,Channel Admin Roles,Pretups6.3.3,testscripts/RolesAndRensposibilities/ChannelAdmin_Roles.sah,P,
TEST073,Customer care Roles,M,Customer care Roles,Pretups6.3.3,testscripts/RolesAndRensposibilities/CustomerCare_Roles.sah,P,
TEST074,Channel User Roles,M,Channel User Roles,Pretups6.3.3,testscripts/RolesAndRensposibilities/ChannelUser_Roles.sah,P,
TEST075,Suspend Approval User Hierarchy,M,Suspend Approval User Hierarchy,Pretups6.3.3,testscripts/SuspendResume_UserHierarchy/SuspendResumeUserHierarchy.sah,P,
