TestCaseNo.,Description,Priority,Functionality,Release,Script,Tags,Start URL
TEST032,Look Up ,M,Add sublook up,Pretups6.3.3,testscripts/SubLookUp/AddViewModifySubLookUp.sah,P,
TEST033,Message Getway Management,M,Message Getway Management,Pretups6.3.3,testscripts/Message_Getway_Management/AddViewModifyMessageGateway.sah,P,
TEST034,Bonus Bundle Management,M,Bonus Bundle Management,Pretups6.3.3,testscripts/Bonus_Bundle_Management/BonusBundle.sah,P,
TEST035,Grade Management,M,Grade Management,Pretups6.3.3,testscripts/Grade_Management/GradeManagement.sah,P,
TEST036,Group Role Management,M,Group Role Management,Pretups6.3.3,testscripts/Group_Role_Management/AddModifyDeleteGroupRole.sah,P,
TEST037,Profile Management,M,Profile Management,Pretups6.3.3,testscripts/Profile_Management/AddModifyCommisionProfile.sah,P,
TEST038,Profile Management,M,Profile Management,Pretups6.3.3,testscripts/Profile_Management/AddModifyAdditionalCommisionProfile.sah,P,
TEST039,View Details by super admin,M,View Details by super admin,Pretups6.3.3,testscripts/View_Details/ViewDetails.sah,P,
TEST040,View Details by network admin,M,View Details by network admin,Pretups6.3.3,testscripts/View_Details/ViewDetails_ByNetworkAdmin.sah,P,
TEST041,View Details by channel admin,M,View Details by channel admin,Pretups6.3.3,testscripts/View_Details/ViewDetails_ByChannelAdmin.sah,P,
TEST042,User Status Configuration,M,User Status Configuration ,Pretups6.3.3,testscripts/User_Status_Configuration/UserStatus.sah,P,
TEST043,User Status Change,M,User Status Change,Pretups6.3.3,testscripts/User_Status_Configuration/UserStatus_ChannelAdmin.sah,P,
TEST044,Cell ID Management,M,Cell ID Management,Pretups6.3.3,testscripts/Cell_Id_Management/Cell_Id_Management.sah,P,
TEST045,Service Type Product Mapping,M,Service Type Product Mapping,Pretups6.3.3,testscripts/Service_Type_Product_Mapping/ServiceTypeProductMapping.sah,P,
TEST046,Service Type Selector Mapping,M,Service Type Selector Mapping,Pretups6.3.3,testscripts/Service_Type_Selector_Mapping/ServiceTypeSelectorMapping.sah,P,
TEST047,Network Management,M,AddModify and view Network,Pretups6.3.3,testscripts/Network_Management/AddViewModifyNetwork.sah,P,
