Batch FOC approval level 1,,,,,View P2P transfer rules,Suspend channel user,,,,New registered Chnl. user list,,Network stock details,,,Total top up transaction amount,Redemption enquiry,,,,,,,,,,,,,,
Batch FOC approval level 2,,,,,Number and % of failed transaction,Approval delete channel user,,,,Parent Suspended active users,,Redemption transaction details,,,C2S processing fee,Staff C2S transfers,,,,,,,,,,,,,,
Batch FOC approval level 3,,,,,Number of transaction wise user list,Approval suspend channel user,,,,Deleted/rejected Chnl. user list,,Batch O2C transfer detail ,,,C2S service class wise,Staff C2C transfer enquiry,,,,,,,,,,,,,,
Initiate batch O2C transfer,,,,,Processing fee per customer,Change role channel user,,,,Active channel user summary,,Batch O2C transfer Summary,,,C2S transfer summary,Batch O2C Withdraw ,,,,,,,,,,,,,,
O2C batch approval level 1,,,,,Monthly transaction per user,Resume channel user,,,,Active Chnl. user list,,,,,Non transacting retailers,,,,,,,,,,,,,,,
Initiate bulk commission payout,,,,,P2P monthly active user summary,De-register/suspend/resume -batch,,,,Users below Min. thresholds,,,,,Roam recharge details,,,,,,,,,,,,,,,
Bulk commission payout approval level 1,,,,,,Batch user initiate,,,,User balance movement summary,,,,,Roam recharge summary,,,,,,,,,,,,,,,
Bulk commission payout approval level 2,,,,,,Batch user approve,,,,User Closing Balance,,,,,Subscriber count report,,,,,,,,,,,,,,,
Bulk commission payout approval level 3,,,,,,MSISDN Association/Deassociation,,,,User zero balance counter detail,,,,,Additional commission detail,,,,,,,,,,,,,,,
O2C batch approval level 2,,,,,,View MSISDN Association,,,,User zero balance counter summary,,,,,Additional commission summary,,,,,,,,,,,,,,,
Bulk commission payout upload,,,,,,Batch user modify,,,,Activated subscriber mapping summary,,,,,C2S transfer schedule report,,,,,,,,,,,,,,,
Initiate auto O2C,,,,,,Change PIN,,,,User event remarks,,,,,IAT C2S transfer report,,,,,,,,,,,,,,,
Auto O2C Approve Level 1,,,,,,Change self PIN,,,,Inactive User Report,,,,,IAT C2S transfer summary report,,,,,,,,,,,,,,,
Auto O2C Approve Level 2,,,,,,Batch associate profile,,,,,,,,,Staff C2S transfer report,,,,,,,,,,,,,,,
Auto O2C Approve Level 3,,,,,,Suspend staff user,,,,,,,,,Time based C2S transfers report,,,,,,,,,,,,,,,
,,,,,,Resume staff user,,,,,,,,,C2S Bonus Report,,,,,,,,,,,,,,,
,,,,,,Add staff user,,,,,,,,,Geo - fencing report,,,,,,,,,,,,,,,
,,,,,,Modify staff user,,,,,,,,,C2S transfer without COS,,,,,,,,,,,,,,,
,,,,,,View staff user,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Associate Alert MSISDN,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Barred for deletion,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Approval Barred for deletion Level 1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Approval Barred for deletion Level 2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Batch Barred for deletion,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Approval Batch Bar for del Level 1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Approval Batch Bar for del Level 2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Level one staff user approval,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Level two staff user approval,,,,,,,,,,,,,,,,,,,,,,,,
